日本語,ひらがな,ローマ字
仕様が後から変わる,しようがあとからかわる,shiyougaatokarakawaru
レビューが返ってこない,れびゅーがかえってこない,rebyu-gakaettekonai
エラーが再現しない,えらーがさいげんしない,era-gasaigennshinai
気づいたら残業,きづいたらざんぎょう,kizuitarazanngyou
とりあえずログを見る,とりあえずろぐをみる,toriaezuroguomiru
環境によって動かない,かんきょうによってうごかない,kankyouniyotteugokanai
テストが間に合わない,てすとがまにあわない,tesutogamaniawanai
それ前の担当が作りました,それまえのたんとうがつくりました,soremaenotanntougatsukurimashita
今日中でお願いします,きょうじゅうでおねがいします,kyoujuudeonegaishimasu
簡単な修正です,かんたんなしゅうせいです,kannnannashuuseidesu
進捗どうですか,しんちょくどうですか,shinchokudoudesuka
要件がふわっとしている,ようけんがふわっとしている,youkennngafuwattoshiteiru
会議が長すぎる,かいぎがながすぎる,kaigiganagasugiru
資料作成に時間がかかる,しりょうさくせいにじかんがかかる,shiryousakuseinijikanngakakaru
結局Slackで済む話,けっきょくすらっくですむはなし,kekkyokusurakkudesumuhanashi
急に優先度が変わる,きゅうにゆうせんどがかわる,kyu-niyuusennndogakawaru
デプロイが怖い,でぷろいがこわい,depuroigakowai
本番だけ動かない,ほんばんだけうごかない,honnbandakeugokanai
再起動したら直る,さいきどうしたらなおる,saikidoushitaranaoru
キャッシュが悪さしてる,きゃっしゅがわるさしてる,kyasshugawarusasiteru
バージョン違いで動かない,ばーじょんちがいでうごかない,ba-jonchigaideugokanai
依存関係が地獄,いぞんかんけいがじごく,izonnkankeigajigoku
とりあえず再インストール,とりあえずさいいんすとーる,toriaezusaiinsuto-ru
ログが多すぎて読めない,ろぐがおおすぎてよめない,rogugaoosugiteyomenai
本番でだけ再現する,ほんばんでだけさいげんする,honnbandedakesaigennsuru
仕様書が存在しない,しようしょがそんざいしない,shiyoushogasonnzaishinai
口頭で仕様変更,こうとうでしようへんこう,koutoudeshiyouhenkou
テストデータが足りない,てすとでーたがたりない,tesutode-tagatarinai
レビューが厳しすぎる,れびゅーがきびしすぎる,rebyu-gakibishisugiru
レビューが優しすぎる,れびゅーがやさしすぎる,rebyu-gayasashisugiru
結局自分で直す,けっきょくじぶんでなおす,kekkyokujibundenaosu
誰もコードを理解してない,だれもこーどをりかいしてない,daremokodoorikaishitenai
前任者がいない,ぜんにんしゃがいない,zennninshagainai
コメントが一切ない,こめんとがいっさいない,komentogaisainai
命名規則がバラバラ,めいめいきそくがばらばら,meimeikisokugabarabara
動いてるから触らない,うごいてるからさわらない,ugoiterukarasarawanai
動いてるけど理由は不明,うごいてるけどりゆうはふめい,ugoiterukedoriyuuhafumei
仕様が三転する,しようがさんてんする,shiyougasanntensuru
納期が急に短くなる,のうきがきゅうにみじかくなる,noukigakyu-nimijikakunaru
テスト期間が削られる,てすときかんがけずられる,tesutokikanngakezurareru
バグがバグを呼ぶ,ばぐがばぐをよぶ,bagugabaguwoyobu
再現手順が謎,さいげんてじゅんがなぞ,saigenntejunnganazo
とりあえずググる,とりあえずぐぐる,toriaezuguguru
StackOverflowに救われる,すたっくおーばーふろーにすくわれる,sutakkuo-ba-furo-nisukuwareru
結局自作する,けっきょくじさくする,kekkyokujisakusuru
誰かが勝手に直してる,だれかがかってになおしてる,darekagakatteninaoshiteru
仕様がドキュメントと違う,しようがどきゅめんととちがう,shiyougadokyumentotochigau
結局全部自分がやる,けっきょくぜんぶじぶんがやる,kekkyokuzennbujibungayaru
